experiment,method,num_kp_img1,num_kp_img2,num_good_matches,num_ransac_inliers,inlier_ratio,time_total_s,homography_success
baseline,ORB,1000.5,1001.5,337.0,139.5,0.3774,2.0629383000123083,1.0
baseline,SIFT,1186.5,1109.5,333.0,199.0,0.596425,1.8200850749908482,1.0
illumination,ORB,1000.0,1000.0,640.875,594.875,0.8743375,4.3638375,1.0
illumination,SIFT,1253.0,1152.75,852.875,794.0,0.915,4.5784375,1.0
rotation,ORB,1000.0,1000.0,704.125,650.375,0.9174,1.8722625,1.0
rotation,SIFT,1253.0,1580.25,915.75,869.875,0.9457375,2.2392250000000002,1.0
scale,ORB,1000.0,1000.0,806.8333333333334,786.3333333333334,0.9722833333333334,2.3961,1.0
scale,SIFT,1253.0,1734.8333333333333,944.6666666666666,912.5,0.9623833333333334,2.521333333333333,1.0
viewpoint,ORB,1000.0,1000.0,536.6666666666666,457.0,0.8487,4.455,1.0
viewpoint,SIFT,1253.0,1621.0,733.0,665.3333333333334,0.9054666666666668,4.9004666666666665,1.0
