timestamp,experiment,method,image_pair,condition,num_kp_img1,num_kp_img2,desc_dim_img1,desc_dtype,num_raw_matches,num_good_matches,num_ransac_inliers,num_ransac_outliers,inlier_ratio,time_feat_s,time_match_s,time_ransac_s,reprojection_error_px,homography_success,failure_reason,panorama_w,panorama_h,pano_valid_ratio,pano_lap_variance,time_total_s,ratio_threshold,ransac_threshold,rotation_angle_deg,scale_factor,viewpoint_level,viewpoint_offset_px,illumination_tag,brightness_delta,contrast_factor,illumination_type
2026-08-28T02:39:55.867905+00:00,illumination,SIFT,ref-bright_n100,bright_n100,1253,1172,128,float32,1253,296,235,61,0.7939,0.19,0.0116,0.0008,0.719,True,,751.0,602.0,0.9978,1284.86,4.9427,0.75,5.0,,,,,bright_n100,-100.0,1.0,brightness
2026-08-28T02:40:00.567472+00:00,illumination,SIFT,ref-bright_n50,bright_n50,1253,1375,128,float32,1253,777,717,60,0.9228,0.1946,0.0199,0.0008,0.328,True,,750.0,602.0,0.9987,2453.51,4.6894,0.75,5.0,,,,,bright_n50,-50.0,1.0,brightness
2026-08-28T02:40:05.049268+00:00,illumination,SIFT,ref-bright_p50,bright_p50,1253,1128,128,float32,1253,1022,959,63,0.9384,0.1825,0.0107,0.001,0.156,True,,752.0,602.0,0.9968,4047.81,4.4724,0.75,5.0,,,,,bright_p50,50.0,1.0,brightness
2026-08-28T02:40:09.543110+00:00,illumination,SIFT,ref-bright_p100,bright_p100,1253,988,128,float32,1253,685,610,75,0.8905,0.201,0.0097,0.0008,0.34,True,,752.0,602.0,0.9977,3470.79,4.4893,0.75,5.0,,,,,bright_p100,100.0,1.0,brightness
2026-08-28T02:40:14.058176+00:00,illumination,SIFT,ref-contrast_0p5,contrast_0p5,1253,1082,128,float32,1253,1066,1024,42,0.9606,0.176,0.0102,0.0009,0.029,True,,752.0,602.0,0.9937,2092.77,4.5029,0.75,5.0,,,,,contrast_0p5,0.0,0.5,contrast
2026-08-28T02:40:18.557705+00:00,illumination,SIFT,ref-contrast_0p75,contrast_0p75,1253,1189,128,float32,1253,1155,1136,19,0.9835,0.1862,0.0118,0.001,0.029,True,,752.0,602.0,0.9945,3095.36,4.4932,0.75,5.0,,,,,contrast_0p75,0.0,0.75,contrast
2026-08-28T02:40:23.124070+00:00,illumination,SIFT,ref-contrast_1p25,contrast_1p25,1253,1173,128,float32,1253,1026,955,71,0.9308,0.1847,0.0113,0.0009,0.16,True,,752.0,602.0,0.9969,4888.96,4.5522,0.75,5.0,,,,,contrast_1p25,0.0,1.25,contrast
2026-08-28T02:40:27.617097+00:00,illumination,SIFT,ref-contrast_1p5,contrast_1p5,1253,1115,128,float32,1253,796,716,80,0.8995,0.2035,0.0103,0.0008,0.288,True,,752.0,602.0,0.9963,5315.06,4.4854,0.75,5.0,,,,,contrast_1p5,0.0,1.5,contrast
2026-08-28T02:40:32.073682+00:00,illumination,ORB,ref-bright_n100,bright_n100,1000,1000,32,uint8,231,231,82,149,0.355,0.0316,0.0104,0.0106,1.149,True,,752.0,601.0,0.9993,1267.07,4.458,0.75,5.0,,,,,bright_n100,-100.0,1.0,brightness
2026-08-28T02:40:36.403403+00:00,illumination,ORB,ref-bright_n50,bright_n50,1000,1000,32,uint8,600,600,559,41,0.9317,0.0263,0.0106,0.0008,0.389,True,,751.0,602.0,0.999,2423.47,4.3205,0.75,5.0,,,,,bright_n50,-50.0,1.0,brightness
2026-08-28T02:40:40.715560+00:00,illumination,ORB,ref-bright_p50,bright_p50,1000,1000,32,uint8,727,727,693,34,0.9532,0.0244,0.0105,0.0008,0.124,True,,752.0,602.0,0.9981,3927.28,4.2899,0.75,5.0,,,,,bright_p50,50.0,1.0,brightness
2026-08-28T02:40:45.135075+00:00,illumination,ORB,ref-bright_p100,bright_p100,1000,1000,32,uint8,484,484,440,44,0.9091,0.0301,0.0105,0.0007,0.456,True,,751.0,601.0,0.9993,2453.01,4.4194,0.75,5.0,,,,,bright_p100,100.0,1.0,brightness
2026-08-28T02:40:49.483046+00:00,illumination,ORB,ref-contrast_0p5,contrast_0p5,1000,1000,32,uint8,905,905,894,11,0.9878,0.026,0.0105,0.0008,0.023,True,,751.0,601.0,0.9981,1807.78,4.3357,0.75,5.0,,,,,contrast_0p5,0.0,0.5,contrast
2026-08-28T02:40:53.836511+00:00,illumination,ORB,ref-contrast_0p75,contrast_0p75,1000,1000,32,uint8,925,925,919,6,0.9935,0.0251,0.0105,0.0008,0.02,True,,751.0,602.0,0.9961,2839.8,4.352,0.75,5.0,,,,,contrast_0p75,0.0,0.75,contrast
2026-08-28T02:40:58.243543+00:00,illumination,ORB,ref-contrast_1p25,contrast_1p25,1000,1000,32,uint8,722,722,681,41,0.9432,0.0277,0.0104,0.0007,0.15,True,,752.0,602.0,0.9976,4666.19,4.4025,0.75,5.0,,,,,contrast_1p25,0.0,1.25,contrast
2026-08-28T02:41:02.590059+00:00,illumination,ORB,ref-contrast_1p5,contrast_1p5,1000,1000,32,uint8,533,533,491,42,0.9212,0.0366,0.0108,0.0008,0.405,True,,752.0,601.0,0.9983,4126.18,4.3327,0.75,5.0,,,,,contrast_1p5,0.0,1.5,contrast
