timestamp,experiment,method,image_pair,condition,num_kp_img1,num_kp_img2,desc_dim_img1,desc_dtype,num_raw_matches,num_good_matches,num_ransac_inliers,num_ransac_outliers,inlier_ratio,time_feat_s,time_match_s,time_ransac_s,reprojection_error_px,homography_success,failure_reason,panorama_w,panorama_h,pano_valid_ratio,pano_lap_variance,time_total_s,ratio_threshold,ransac_threshold,rotation_angle_deg,scale_factor,viewpoint_level,viewpoint_offset_px,illumination_tag,brightness_delta,contrast_factor,illumination_type
2026-08-28T02:38:23.336140+00:00,rotation,SIFT,ref-rot000,0,1253,1253,128,float32,1253,1253,1253,0,1.0,0.1978,0.0148,0.0006,0.0,True,,751.0,601.0,0.997,4004.09,5.0479,0.75,5.0,0.0,,,,,,,
2026-08-28T02:38:23.744675+00:00,rotation,SIFT,ref-rot015,15,1253,1810,128,float32,1253,808,752,56,0.9307,0.2486,0.0171,0.001,0.191,True,,881.0,775.0,0.661,1303.75,0.3916,0.75,5.0,15.0,,,,,,,
2026-08-28T02:38:29.589954+00:00,rotation,SIFT,ref-rot030,30,1253,1763,128,float32,1253,818,764,54,0.934,0.3082,0.0195,0.0009,0.223,True,,951.0,896.0,0.5296,1299.69,5.8363,0.75,5.0,30.0,,,,,,,
2026-08-28T02:38:30.122016+00:00,rotation,SIFT,ref-rot045,45,1253,1740,128,float32,1253,804,728,76,0.9055,0.3241,0.0191,0.001,0.226,True,,956.0,956.0,0.4939,1282.19,0.5098,0.75,5.0,45.0,,,,,,,
2026-08-28T02:38:30.689644+00:00,rotation,SIFT,ref-rot060,60,1253,1786,128,float32,1253,797,738,59,0.926,0.364,0.0166,0.0011,0.223,True,,896.0,950.0,0.5302,1186.84,0.5474,0.75,5.0,60.0,,,,,,,
2026-08-28T02:38:35.510394+00:00,rotation,SIFT,ref-rot090,90,1253,1255,128,float32,1253,1037,1011,26,0.9749,0.2193,0.0174,0.0015,0.099,True,,601.0,751.0,0.997,2085.6,4.8169,0.75,5.0,90.0,,,,,,,
2026-08-28T02:38:35.980322+00:00,rotation,SIFT,ref-rot120,120,1253,1772,128,float32,1253,801,762,39,0.9513,0.2918,0.0169,0.001,0.227,True,,896.0,950.0,0.5303,988.12,0.45,0.75,5.0,120.0,,,,,,,
2026-08-28T02:38:36.314027+00:00,rotation,SIFT,ref-rot180,180,1253,1263,128,float32,1253,1008,951,57,0.9435,0.2021,0.0129,0.0015,0.117,True,,751.0,601.0,0.997,1886.64,0.3139,0.75,5.0,180.0,,,,,,,
2026-08-28T02:38:40.714895+00:00,rotation,ORB,ref-rot000,0,1000,1000,32,uint8,998,998,998,0,1.0,0.0259,0.0108,0.0005,0.0,True,,750.0,600.0,1.0,3343.88,4.4011,0.75,5.0,0.0,,,,,,,
2026-08-28T02:38:40.928208+00:00,rotation,ORB,ref-rot015,15,1000,1000,32,uint8,630,630,560,70,0.8889,0.0363,0.0162,0.0015,1.09,True,,880.0,775.0,0.6619,1210.63,0.1946,0.75,5.0,15.0,,,,,,,
2026-08-28T02:38:46.057061+00:00,rotation,ORB,ref-rot030,30,1000,1000,32,uint8,599,599,536,63,0.8948,0.034,0.0106,0.0009,1.18,True,,956.0,897.0,0.5277,967.73,5.114,0.75,5.0,30.0,,,,,,,
2026-08-28T02:38:46.288466+00:00,rotation,ORB,ref-rot045,45,1000,1000,32,uint8,627,627,569,58,0.9075,0.032,0.0125,0.001,1.121,True,,955.0,956.0,0.4944,1114.91,0.2034,0.75,5.0,45.0,,,,,,,
2026-08-28T02:38:46.592488+00:00,rotation,ORB,ref-rot060,60,1000,1000,32,uint8,603,603,540,63,0.8955,0.0351,0.0134,0.0011,1.032,True,,895.0,950.0,0.5308,1153.09,0.2857,0.75,5.0,60.0,,,,,,,
2026-08-28T02:38:51.058358+00:00,rotation,ORB,ref-rot090,90,1000,1000,32,uint8,802,802,754,48,0.9401,0.0295,0.0107,0.0008,1.15,True,,601.0,753.0,0.9967,1380.21,4.4467,0.75,5.0,90.0,,,,,,,
2026-08-28T02:38:51.265493+00:00,rotation,ORB,ref-rot120,120,1000,1000,32,uint8,597,597,538,59,0.9012,0.0322,0.0135,0.0018,1.316,True,,897.0,953.0,0.5287,867.5,0.1907,0.75,5.0,120.0,,,,,,,
2026-08-28T02:38:51.411367+00:00,rotation,ORB,ref-rot180,180,1000,1000,32,uint8,777,777,708,69,0.9112,0.0302,0.0149,0.0013,1.349,True,,751.0,602.0,0.9953,1223.92,0.1419,0.75,5.0,180.0,,,,,,,
