timestamp,experiment,method,image_pair,condition,num_kp_img1,num_kp_img2,desc_dim_img1,desc_dtype,num_raw_matches,num_good_matches,num_ransac_inliers,num_ransac_outliers,inlier_ratio,time_feat_s,time_match_s,time_ransac_s,reprojection_error_px,homography_success,failure_reason,panorama_w,panorama_h,pano_valid_ratio,pano_lap_variance,time_total_s,ratio_threshold,ransac_threshold,rotation_angle_deg,scale_factor,viewpoint_level,viewpoint_offset_px,illumination_tag,brightness_delta,contrast_factor,illumination_type
2026-08-28T02:38:56.826873+00:00,scale,SIFT,ref-scale0p5,0.5,1253,1817,128,float32,1253,668,634,34,0.9491,0.2207,0.0167,0.0007,0.348,True,,752.0,601.0,0.9977,1721.99,4.6635,0.75,5.0,,0.5,,,,,,
2026-08-28T02:38:57.165750+00:00,scale,SIFT,ref-scale0p75,0.75,1253,1784,128,float32,1253,816,757,59,0.9277,0.2024,0.0205,0.0012,0.291,True,,752.0,601.0,0.9988,2007.6,0.3295,0.75,5.0,,0.75,,,,,,
2026-08-28T02:39:01.852824+00:00,scale,SIFT,ref-scale1p0,1.0,1253,1253,128,float32,1253,1253,1253,0,1.0,0.2571,0.0119,0.0006,0.0,True,,751.0,601.0,0.997,4004.09,4.6767,0.75,5.0,,1.0,,,,,,
2026-08-28T02:39:02.274574+00:00,scale,SIFT,ref-scale1p25,1.25,1253,1849,128,float32,1253,957,919,38,0.9603,0.3006,0.017,0.0009,0.175,True,,752.0,601.0,0.9957,2655.68,0.4117,0.75,5.0,,1.25,,,,,,
2026-08-28T02:39:02.602794+00:00,scale,SIFT,ref-scale1p5,1.5,1253,1856,128,float32,1253,985,957,28,0.9716,0.2011,0.0177,0.0009,0.124,True,,752.0,602.0,0.9948,2773.25,0.3128,0.75,5.0,,1.5,,,,,,
2026-08-28T02:39:07.343516+00:00,scale,SIFT,ref-scale2p0,2.0,1253,1850,128,float32,1253,989,955,34,0.9656,0.2004,0.0168,0.0009,0.121,True,,752.0,601.0,0.9964,2572.84,4.7338,0.75,5.0,,2.0,,,,,,
2026-08-28T02:39:11.699895+00:00,scale,ORB,ref-scale0p5,0.5,1000,1000,32,uint8,665,665,628,37,0.9444,0.0262,0.0108,0.0007,0.477,True,,752.0,602.0,0.9969,1847.12,4.3431,0.75,5.0,,0.5,,,,,,
2026-08-28T02:39:11.852969+00:00,scale,ORB,ref-scale0p75,0.75,1000,1000,32,uint8,744,744,704,40,0.9462,0.0262,0.0137,0.0012,0.257,True,,751.0,602.0,0.9988,1793.71,0.1444,0.75,5.0,,0.75,,,,,,
2026-08-28T02:39:16.353867+00:00,scale,ORB,ref-scale1p0,1.0,1000,1000,32,uint8,998,998,998,0,1.0,0.0269,0.0106,0.0005,0.0,True,,750.0,600.0,1.0,3343.88,4.4961,0.75,5.0,,1.0,,,,,,
2026-08-28T02:39:16.523089+00:00,scale,ORB,ref-scale1p25,1.25,1000,1000,32,uint8,779,779,761,18,0.9769,0.0384,0.0127,0.0014,0.178,True,,752.0,601.0,0.9988,2259.4,0.1551,0.75,5.0,,1.25,,,,,,
2026-08-28T02:39:16.782586+00:00,scale,ORB,ref-scale1p5,1.5,1000,1000,32,uint8,827,827,812,15,0.9819,0.0373,0.0143,0.0011,0.15,True,,751.0,602.0,0.9969,2460.99,0.2395,0.75,5.0,,1.5,,,,,,
2026-08-28T02:39:21.795364+00:00,scale,ORB,ref-scale2p0,2.0,1000,1000,32,uint8,828,828,815,13,0.9843,0.0601,0.0105,0.0009,0.154,True,,752.0,601.0,0.9992,2449.05,4.9984,0.75,5.0,,2.0,,,,,,
